P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,Param_12,Sig_RA,Sig_Dec,Sig_FR
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.832002122094744e-06,1.2052031330973088e-06,7.170162375516966e-06
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.832025570595975e-06,1.2052041658684579e-06,7.170168651820713e-06
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.831998602673395e-06,1.2052022206215368e-06,7.170142899233376e-06
1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.83198469344721e-06,1.2052012155907085e-06,7.170141095635477e-06
1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.832019747819567e-06,1.2052024449919574e-06,7.1701666058233426e-06
1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.832001998679505e-06,1.2051998614831192e-06,7.170140336413975e-06
1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.831993894617559e-06,1.2052012416949112e-06,7.1701472673785075e-06
1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.831991753477465e-06,1.2052011274255835e-06,7.170145269612017e-06
1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,7.832021603253873e-06,1.205202766883941e-06,7.1701507127517785e-06
1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,7.832007934845386e-06,1.2052033028576425e-06,7.170142460316953e-06
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,7.832024169345479e-06,1.2052036011879987e-06,7.170167312072242e-06
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,7.832021475278679e-06,1.2052034154088945e-06,7.170174691886437e-06
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,7.832007233570712e-06,1.2052045923515789e-06,7.170167312405928e-06
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,0.9755267464349537,1.1809052378761464e-06,7.075413927567492e-06
472.5,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,7.832000010278647e-06,1.2052022071341224e-06,7.170159325871727e-06
450.0,840.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,7.831997329966896e-06,1.2052027841877733e-06,7.170149449692801e-06
450.0,800.0,1050.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,7.83199676548742e-06,1.205201819839375e-06,7.170149132018075e-06
450.0,800.0,1000.0,1575.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,7.832029860816899e-06,1.2052022121543534e-06,7.170163867961368e-06
450.0,800.0,1000.0,1500.0,7875.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,7.832006739059767e-06,1.205202059899326e-06,7.170161754845376e-06
450.0,800.0,1000.0,1500.0,7500.0,1050.0,0.005,0.4,0.1,0.01,0.001,0.1,7.83201444390407e-06,1.205203597742225e-06,7.170171997129867e-06
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.00525,0.4,0.1,0.01,0.001,0.1,7.832024060059933e-06,1.2052029007472091e-06,7.170154454838304e-06
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.42000000000000004,0.1,0.01,0.001,0.1,7.832028601619329e-06,1.2052050870524149e-06,7.170177052929957e-06
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.10500000000000001,0.01,0.001,0.1,7.832017225708231e-06,1.2052025342466926e-06,7.170161913740459e-06
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.0105,0.001,0.1,7.83200250149584e-06,1.2052025984356416e-06,7.170139501648237e-06
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.0010500000000000002,0.1,7.832016826630926e-06,1.2052031353655478e-06,7.170147314636502e-06
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.10500000000000001,7.831988913158656e-06,1.205203173520981e-06,7.170146148189438e-06
453.75,806.6666666666667,1008.3333333333333,1512.5,7562.5,1008.3333333333333,0.005041666666666666,0.4033333333333332,0.10083333333333333,0.010083333333333331,0.0010083333333333337,0.10083333333333333,7.832027980307635e-06,1.2052045023583205e-06,7.170159679617918e-06
454.375,807.7777777777776,1009.7222222222224,1514.5833333333335,7572.916666666666,1009.7222222222224,0.0050486111111111105,0.3805555555555554,0.10097222222222221,0.010097222222222221,0.0010097222222222222,0.10097222222222221,7.831991188224346e-06,1.2052022205537954e-06,7.1701371470640945e-06
456.5625,811.6666666666665,1014.5833333333335,1521.875,7609.375,1014.5833333333335,0.005072916666666665,0.3608333333333331,0.10145833333333332,0.01014583333333333,0.0010145833333333335,0.10145833333333332,7.832031776555099e-06,1.205202719450638e-06,7.1701646736298686e-06
455.10416666666663,809.0740740740739,1011.3425925925928,1429.5138888888891,7585.069444444443,1011.3425925925928,0.005056712962962962,0.3973148148148147,0.10113425925925923,0.010113425925925923,0.0010113425925925928,0.10113425925925923,7.831994904077251e-06,1.2052019958268465e-06,7.17013524794634e-06
451.579861111111,802.8086419753083,1003.510802469136,1478.1828703703704,7526.331018518518,1003.510802469136,0.005017554012345678,0.3929783950617285,0.10035108024691355,0.010035108024691356,0.0010035108024691363,0.10035108024691361,7.831993746524756e-06,1.2052030011514415e-06,7.170153581766742e-06
455.5931712962962,809.94341563786,1012.4292695473252,1487.0466820987654,7593.219521604939,954.095936213992,0.005062146347736623,0.39514146090534985,0.10124292695473247,0.010124292695473247,0.0010124292695473255,0.10124292695473253,7.832019014298788e-06,1.2052043987341664e-06,7.170169730193756e-06
451.398292824074,802.485853909465,1003.1073173868313,1496.7616705246915,7523.304880401234,1026.023984053498,0.005015536586934156,0.39878536522633745,0.10031073173868313,0.010031073173868312,0.0010031073173868313,0.10031073173868313,7.832024769294824e-06,1.205203295146593e-06,7.170152830596819e-06
455.82622010030855,810.3577246227708,1012.9471557784639,1486.5069605195476,7597.103668338479,1008.433266889575,0.005064735778892317,0.39493902177640594,0.095461382244513,0.010129471557784634,0.001012947155778464,0.10129471557784636,7.831994495815722e-06,1.2052018924156806e-06,7.170154077805881e-06
456.79725678369334,812.0840120598994,1015.1050150748745,1484.2581206061386,7613.287613061557,1009.8388113711708,0.004783858408707704,0.39409552540580695,0.09970494595193186,0.01015105015074874,0.0010151050150748746,0.10151050150748742,7.832011604914069e-06,1.2052039807039762e-06,7.170144310900804e-06
456.2987912862226,811.1978511755067,1013.9973139693836,1485.412525095022,7604.979854770378,981.1172985372848,0.00497970879206914,0.3945285202093811,0.09929324991545685,0.010139973139693835,0.0010139973139693835,0.10139973139693836,7.832029922567828e-06,1.2052035291022141e-06,7.170178328734716e-06
452.62341743961116,804.6638532259755,1005.8298165324693,1493.9243841672742,7543.72362399352,1014.7973126744447,0.005006579638217902,0.3977211539720984,0.10005636128287657,0.010058298165324692,0.0010058298165324694,0.10058298165324694,7.8319937425899e-06,1.2052029974475052e-06,7.170153555484669e-06
458.13432035023186,814.4610139559675,1018.07626744496,1481.1615929809254,7198.072005837197,1009.6075013698567,0.004996341985372945,0.3929340777644017,0.09961337520128608,0.010180762674449595,0.00101807626744496,0.101807626744496,7.831995613403143e-06,1.205201726420476e-06,7.170148940822457e-06
459.4900404086038,816.8711829486285,1021.0889786857863,1478.0218584777467,7522.75067347673,1011.2087515981664,0.004995732316268437,0.39175642405846867,0.09954893773483375,0.010210889786857863,0.0009627556453524529,0.10210889786857863,7.832024249577936e-06,1.2052036055122866e-06,7.1701673496201675e-06
452.37251010215095,804.2177957371571,1005.2722446714465,1494.5054646194367,7505.687668369183,1002.8021878995417,0.004998933079067109,0.3979391060146172,0.09988723443370845,0.010052722446714466,0.0010281889113381132,0.10052722446714465,7.832006687773069e-06,1.2052033980416687e-06,7.170141008753439e-06
433.6354587589623,817.5741489048214,1021.9676861310274,1477.1061025809854,7523.698618204928,1011.6757829147566,0.004995554496112955,0.3914129417275716,0.09953014347378517,0.010219676861310275,0.0010174537972421384,0.10219676861310276,7.832030815441247e-06,1.205202469496029e-06,7.170163854235356e-06
462.78386468974054,804.3935372262054,1005.4919215327568,1494.2765256452462,7505.924654551232,1002.9189457286891,0.004998888624028239,0.3978532354318929,0.0998825358684463,0.010054919215327569,0.0010043634493105346,0.1005491921532757,7.832019235092139e-06,1.2052032447162397e-06,7.170150888476902e-06
454.7395833333333,808.4259259259258,1010.5324074074076,1472.0486111111113,7578.993055555555,1010.5324074074076,0.005052662037037036,0.38893518518518505,0.10105324074074072,0.010105324074074072,0.0010105324074074075,0.10105324074074072,7.831986812441149e-06,1.2052034701596759e-06,7.170138315439106e-06
452.1875,803.8888888888888,1004.8611111111112,1507.2916666666667,7536.458333333333,1004.8611111111112,0.005024305555555555,0.3902777777777777,0.10048611111111111,0.01004861111111111,0.001004861111111111,0.10298611111111111,7.832015377201462e-06,1.205203978364973e-06,7.170172888297576e-06
452.1875,803.8888888888888,1004.8611111111112,1507.2916666666667,7536.458333333333,1004.8611111111112,0.005024305555555555,0.3902777777777777,0.10048611111111111,0.01029861111111111,0.001004861111111111,0.10048611111111111,7.832025984241928e-06,1.2052042559846377e-06,7.170174273382792e-06
456.25466017511593,811.1193958668725,1013.8992448335912,1497.8724631571295,7385.494336251932,1009.6648617960395,0.005022476548242028,0.38674481665997856,0.10029279871175414,0.010138992448335908,0.001013899244833591,0.10138992448335911,7.832027073946933e-06,1.2052040575792864e-06,7.17017196065728e-06
452.1875,803.8888888888888,1029.8611111111113,1507.2916666666667,7536.458333333333,1004.8611111111112,0.005024305555555555,0.3902777777777777,0.10048611111111111,0.01004861111111111,0.001004861111111111,0.10048611111111111,7.832023839203949e-06,1.2052028793030492e-06,7.170167176301546e-06
452.1875,823.8888888888888,1004.8611111111112,1507.2916666666667,7536.458333333333,1004.8611111111112,0.005024305555555555,0.3902777777777777,0.10048611111111111,0.01004861111111111,0.001004861111111111,0.10048611111111111,7.831996490625005e-06,1.2052038456350341e-06,7.170146608837268e-06
453.49920871980555,806.2208155018766,1007.7760193773458,1504.2538587503038,7558.3201453300935,1012.2597674483336,0.005027595374664506,0.3891383547638269,0.10051429175254939,0.010077760193773457,0.0010077760193773458,0.10077760193773458,7.83201707012735e-06,1.2052017554963876e-06,7.1701476865721315e-06
452.9774305555555,805.293209876543,1006.6165123456792,1496.383101851852,7549.623842592592,1006.6165123456792,0.005033082561728394,0.38676697530864196,0.10066165123456788,0.010066165123456788,0.0010066165123456792,0.10066165123456791,7.831996848595743e-06,1.205201823202654e-06,7.17014914048991e-06
455.1006100501543,809.0677512002742,1011.3346890003431,1500.5451469264406,7585.010167502573,1009.0777445558987,0.005056673445001714,0.3877472886659807,0.09821680223336761,0.010113346890003427,0.0010113346890003431,0.10113346890003429,7.831997018748187e-06,1.205201411012023e-06,7.170135437236179e-06
453.3737550510755,805.9977867574673,1007.4972334468345,1504.544398976385,7539.302167517924,1006.262205060882,0.0050237720950891095,0.38924733078508633,0.10042972832796533,0.010074972334468343,0.0010189555667801677,0.10074972334468343,7.832005813984575e-06,1.2052031456924139e-06,7.170140310479768e-06
455.58612839184667,809.9308949188385,1012.4136186485484,1499.420726969736,7593.102139864111,1009.7805167966966,0.004916234759909407,0.3873255404806812,0.10033858408707703,0.01012413618648548,0.0010124136186485484,0.10124136186485481,7.832025133118062e-06,1.2052031724594268e-06,7.1701683251497255e-06
463.4375,803.8888888888888,1004.8611111111112,1507.2916666666667,7536.458333333333,1004.8611111111112,0.005024305555555555,0.3902777777777777,0.10048611111111111,0.01004861111111111,0.001004861111111111,0.10048611111111111,7.832025579019824e-06,1.2052050551123055e-06,7.170166876806277e-06
457.1302293794811,812.6759633412993,1015.8449541766248,1495.8447179571592,7548.307642435796,1010.6990025684894,0.005022082803612031,0.38598424864156355,0.10025118284800366,0.009866782875099579,0.0010135880097321799,0.10158449541766248,7.83201891531083e-06,1.205202921678215e-06,7.170152264933076e-06
453.2089974050927,805.7048842757204,1007.1311053446507,1504.9259639333686,7726.407190547841,1006.0676086789692,0.0050238461868205575,0.38939044842296006,0.1004375592700689,0.009981033275668726,0.0010044980034927982,0.10071311053446504,7.832006608995127e-06,1.2052012436132888e-06,7.170139578656593e-06
444.32140714772413,813.2380571515095,1016.5475714393873,1495.1124766349483,7607.101336335524,1011.0724422918742,0.005021940618051199,0.38570959907935787,0.10023615489720489,0.010060151640319795,0.001013475619278893,0.1016547571439387,7.832025440666355e-06,1.2052041678999336e-06,7.170168649947335e-06
458.65847678693103,806.2261809545439,1007.7827261931802,1504.2468691587371,7554.119084083881,1006.4139439063019,0.005023714321179466,0.38913573310317273,0.10042362205763455,0.010051496243413283,0.0010070147381530566,0.10077827261931802,7.83201745044727e-06,1.2052027784864273e-06,7.170152119764127e-06
452.6848368217248,806.5785987941774,1008.223248492722,1503.7877733633793,7543.960353841372,1005.5919411245565,0.005147924673909023,0.3889635351468698,0.10039785491633187,0.009972519907766724,0.0010050232983255403,0.10082232484927219,7.831994605790955e-06,1.20520195806511e-06,7.170134989483387e-06
456.166354683859,813.0688898083414,987.1694455937607,1495.3328514492339,7601.854497123492,1010.6331518123826,0.0050604570646551215,0.38579225741128875,0.10023561852650126,0.01003536311591703,0.0010126028370653825,0.10163361122604278,7.832029383815689e-06,1.2052044787882538e-06,7.170166789980316e-06
453.18221367096476,806.183889118752,1019.1881947317736,1504.3019628623085,7552.807374280873,1006.3041212864291,0.005033343432830447,0.3891563976861555,0.10042348796495865,0.01004529911231259,0.001006796542599679,0.10077298613984403,7.832024364309827e-06,1.2052038219578455e-06,7.170159409749571e-06
456.3321402956866,813.451389846652,1014.5572928638713,1494.8345674818404,7604.579337281418,1010.8736535082688,0.0050619633775342695,0.3856053607293518,0.10022518133547584,0.010034811116117278,0.0010129254089801438,0.0987647570641649,7.832024405709737e-06,1.2052028455829886e-06,7.170174007672646e-06
453.2236600739217,806.2795141283295,1007.2851565493013,1504.1773918704603,7553.488584320354,1006.3642467104006,0.005033720011050234,0.3891096735156713,0.10042087866720228,0.010045161112362653,0.0010068771855783693,0.10193077259937455,7.831991573209179e-06,1.2052014332838125e-06,7.170151900265649e-06
455.3443343585478,811.172327118385,998.2463695461302,1497.8035094542245,7588.343831340458,1009.4406642369465,0.0050529882632960104,0.3867189534592266,0.10028736959866894,0.01003810011492414,0.0010110034179880243,0.10117084644535373,7.832004136006938e-06,1.2052025441329141e-06,7.170148821138798e-06
451.09866947987587,804.4296468586855,998.6565126628633,1506.5872196088847,7599.516261336311,1004.836059899629,0.005069399802461756,0.39001355330676224,0.10046570584073483,0.010245169225441246,0.0010037811855648311,0.10029039567215048,7.832028043844032e-06,1.2052045020852009e-06,7.1701597060940585e-06
455.62233940457975,810.6143842206459,1011.5478437981844,1498.5303433700906,7561.109797160925,1009.2332669012743,0.005033912053324463,0.3869915748078632,0.10030481359618645,0.009961379462684996,0.0010111363036903426,0.10126097048128449,7.832002770810835e-06,1.2052023190774817e-06,7.170156896809108e-06
449.0643991753675,811.6107964564578,1007.346260247142,1497.232314109199,7594.869938534401,1009.5910057276451,0.0050694679069184885,0.38650470912926826,0.10027346522086256,0.010045436393672825,0.0010110413847335023,0.10117706811415605,7.832017121927283e-06,1.2052044792927756e-06,7.170174214972228e-06
456.25995738404015,807.5723348300223,1007.6736097066707,1502.4932303963526,7564.30679769651,1007.2082093616377,0.005035152717614222,0.3884779771096966,0.10038608284844155,0.010049981280978167,0.001008021399798168,0.10087797149302752,7.832004886546897e-06,1.2052011202555451e-06,7.170138427524038e-06
454.68379201986545,811.8414151304828,1007.3358987845302,1496.93188645864,7591.666652682592,1002.9032558378308,0.0050668464105917315,0.38639202452625904,0.10016142737526307,0.010014542624513435,0.0010103210002460165,0.10119446705495494,7.832022929902723e-06,1.2052048064153868e-06,7.170178494933837e-06
453.7953545448205,807.6259654090281,1007.6659892291419,1502.423365677388,7566.656772168219,1009.9206395457079,0.005037408133646313,0.38845177220443494,0.10042607565822781,0.010061955801458453,0.0010084122645945136,0.10088181821703968,7.831986748042059e-06,1.2052034682456326e-06,7.170138322080996e-06
